Date,Unit Price,Sales,Mean Temperature (f),Total Precipitation (in)
2023-12-01,23.07,3980.59995,21.506489,0.072517134
2023-11-01,22.33,3803.02665,32.186024,0.029527556
2023-10-01,22.01,3858.39307,39.073666,0.07797816
2023-09-01,22.2,4476.12707,46.180775,0.06496063
2023-08-01,22.28,4859.66918,53.89427,0.11963423
2023-07-01,22.07,4943.02509,58.20822,0.12242824
2023-06-01,21.0,3970.68695,53.4104,0.078608915
2023-05-01,21.51,3646.0811,40.028584,0.0986792
2023-04-01,23.65,3630.43638,33.682274,0.049475066
2023-03-01,24.73,4028.07635,28.07407,0.0506731
2023-02-01,25.58,4065.89104,18.641338,0.07536558
2023-01-01,25.24,4338.29903,11.04157,0.041148078
2022-12-01,23.55,4163.69521,12.956247,0.013462027
2022-11-01,21.79,3775.16448,23.213402,0.095669284
2022-10-01,21.25,3881.12466,35.18298,0.060960118
2022-09-01,22.51,4479.09276,48.913273,0.032677166
2022-08-01,22.17,5075.29851,50.589798,0.096647196
2022-07-01,20.2,4911.31183,56.28653,0.07797815
2022-06-01,20.34,4040.90064,50.662525,0.22598425
2022-05-01,19.27,3877.59216,43.103466,0.2550165
2022-04-01,19.59,3972.75712,38.67915,0.03031496
2022-03-01,20.95,4092.78766,26.663706,0.20015238
2022-02-01,21.7,4271.69251,13.252052,0.031074239
2022-01-01,21.55,4442.02246,15.676085,0.04533909
2021-12-01,20.1,4013.53301,16.966085,0.013843027
2021-11-01,19.13,3909.236,19.671024,0.024278216
2021-10-01,18.97,3862.00295,29.816366,0.061595116
2021-09-01,19.77,4613.4321,49.631775,0.0095800515
2021-08-01,19.31,5027.7841,52.396812,0.082423165
2021-07-01,19.56,4769.08633,56.25496,0.07950216
2021-06-01,18.63,4486.88811,50.700275,0.0652231
2021-05-01,18.16,3667.64854,43.374554,0.13068326
2021-04-01,18.38,3721.45137,29.521648,0.020734908
2021-03-01,18.85,4005.51515,23.44524,0.13614425
2021-02-01,19.01,4231.59187,19.363346,0.10728345
2021-01-01,18.52,4490.21846,13.726328,0.02959106
2020-12-01,17.96,4253.06905,13.243787,0.008890016
2020-11-01,17.69,3732.42228,20.77865,0.05774278
2020-10-01,17.68,3795.46225,32.61907,0.01028702
2020-09-01,18.09,4318.92772,43.56615,0.074015744
2020-08-01,18.49,5196.30138,51.88875,0.14935228
2020-07-01,18.32,5037.8566,53.02778,0.17360935
2020-06-01,17.45,3949.49283,49.1754,0.12349081
2020-05-01,17.79,3609.59656,44.262093,0.1000762
2020-04-01,18.53,3590.05588,34.834774,0.098687656
2020-03-01,18.45,3928.19209,25.383383,0.011938024
2020-02-01,18.83,4157.82994,20.479712,0.06204181
2020-01-01,18.79,4440.13446,12.351409,0.021590043
2019-12-01,18.56,4379.7306,16.308748,0.060198113
2019-11-01,18.05,3971.21608,21.6774,0.03451443
2019-10-01,17.76,3912.87852,36.957333,0.034036066
2019-09-01,18.42,4144.15826,44.606148,0.07847769
2019-08-01,18.42,5038.73766,53.58859,0.085725166
2019-07-01,18.16,5123.38214,58.192375,0.06108712
2019-06-01,17.86,4044.75955,47.262024,0.1156168
2019-05-01,18.09,3800.42996,40.643345,0.05626111
2019-04-01,18.38,3835.81195,34.676525,0.1555118
2019-03-01,19.14,4193.31059,25.241127,0.07124714
2019-02-01,18.89,4203.37081,16.086115,0.03782339
2019-01-01,18.92,4688.81188,12.864796,0.027940053
