Date,Unit Price,Sales,Mean Temperature (f),Total Precipitation (in)
2023-12-01,11.41,10793.1318,38.961666,0.09131318
2023-11-01,11.67,10014.82116,42.945976,0.033989497
2023-10-01,11.65,10097.3014,56.109447,0.112522215
2023-09-01,11.55,11015.91364,67.7066,0.12480315
2023-08-01,11.42,12981.40715,72.829735,0.19024637
2023-07-01,11.84,13051.58145,74.3711,0.12560324
2023-06-01,11.79,11251.3088,73.345726,0.028083988
2023-05-01,12.34,9972.94244,65.35561,0.028702058
2023-04-01,12.34,9445.26174,52.370228,0.08648293
2023-03-01,12.42,10594.07926,39.806744,0.12979425
2023-02-01,12.29,10124.11457,35.90507,0.17013498
2023-01-01,12.35,11438.41391,33.35735,0.064008124
2022-12-01,12.15,11602.15968,30.101383,0.06578613
2022-11-01,11.86,10072.74899,42.338478,0.0660105
2022-10-01,11.96,9856.1877,53.64304,0.13792229
2022-09-01,12.92,11147.59078,66.96597,0.08385826
2022-08-01,13.07,13100.04853,74.290535,0.124587245
2022-07-01,12.96,13408.36186,75.679,0.074168146
2022-06-01,12.72,12345.65363,73.15223,0.10406824
2022-05-01,11.89,10740.03792,64.64554,0.16865633
2022-04-01,11.33,9693.08503,49.23135,0.12690288
2022-03-01,10.93,10684.88564,41.501865,0.17132334
2022-02-01,10.87,10884.07092,26.046724,0.14299774
2022-01-01,10.16,12336.74933,23.30372,0.025654051
2021-12-01,10.35,11039.79341,39.694607,0.08509017
2021-11-01,10.82,10343.5547,40.269974,0.030839894
2021-10-01,10.62,10412.44109,59.455418,0.23202947
2021-09-01,10.13,11511.2237,70.02735,0.038976375
2021-08-01,10.24,13959.61781,75.10332,0.16179833
2021-07-01,9.97,13256.99449,73.4434,0.2108204
2021-06-01,10.03,12446.82014,73.835724,0.23608921
2021-05-01,10.11,10123.05183,60.23239,0.17919734
2021-04-01,9.95,9391.61796,51.708103,0.07913386
2021-03-01,10.14,10395.07234,45.138157,0.14973329
2021-02-01,9.89,11244.24176,20.274002,0.06285151
2021-01-01,9.48,11564.40376,29.135332,0.094615184
2020-12-01,9.6,11248.74553,32.54372,0.0508001
2020-11-01,9.88,9748.15769,46.907722,0.08123359
2020-10-01,9.94,9955.0168,52.463963,0.0515621
2020-09-01,9.59,10573.98221,66.267975,0.07047244
2020-08-01,9.75,13199.72691,73.57804,0.038354076
2020-07-01,9.7,14143.89482,77.036865,0.12331724
2020-06-01,9.92,11759.53918,73.06235,0.08425197
2020-05-01,10.15,9676.69902,59.531746,0.1634493
2020-04-01,9.93,9080.24047,48.94885,0.11771653
2020-03-01,9.66,10412.0774,43.424892,0.15519431
2020-02-01,9.46,11087.86921,30.709074,0.09611729
2020-01-01,9.53,11583.32776,31.263882,0.14465329
2019-12-01,9.34,11430.19388,35.473557,0.059690118
2019-11-01,9.62,10830.32134,36.1871,0.07152231
2019-10-01,9.82,10565.68463,53.66699,0.17678435
2019-09-01,9.28,11794.83779,71.86648,0.13149606
2019-08-01,9.51,13034.37085,73.61747,0.054483104
2019-07-01,9.53,14338.88667,77.015335,0.05613411
2019-06-01,9.58,11361.27029,70.07572,0.1199475
2019-05-01,9.64,10383.72942,62.795574,0.3009906
2019-04-01,9.87,9812.05373,51.655724,0.17257217
2019-03-01,9.62,11325.10907,36.540615,0.16573533
2019-02-01,9.61,11085.42435,29.204224,0.09589426
2019-01-01,9.45,12357.59898,23.032997,0.09867919
