Date,Unit Price,Sales,Mean Temperature (f),Total Precipitation (in)
2023-12-01,13.39,17740.90414,70.257774,0.33515367
2023-11-01,13.43,17961.97285,75.3063,0.34580055
2023-10-01,13.58,20985.83469,78.60237,0.1012192
2023-09-01,13.74,24487.73919,81.40392,0.24422571
2023-08-01,13.31,26956.2963,83.728745,0.23799847
2023-07-01,13.34,26032.87123,83.274506,0.19138938
2023-06-01,13.5,22784.21586,79.28105,0.3843832
2023-05-01,13.32,20632.68671,77.95519,0.15773432
2023-04-01,13.85,19218.31959,76.212425,0.23622046
2023-03-01,13.18,18672.13013,74.752335,0.16789433
2023-02-01,13.99,16868.39396,74.06665,0.088863894
2023-01-01,13.55,18399.07903,70.7102,0.026670054
2022-12-01,12.7,18819.5626,71.15887,0.1955804
2022-11-01,12.58,18222.74909,76.75505,0.14461942
2022-10-01,12.76,19758.44963,76.58887,0.14376429
2022-09-01,13.08,23226.35526,80.70192,0.4094488
2022-08-01,12.73,25801.87745,82.81592,0.13474725
2022-07-01,12.59,25598.37486,82.8787,0.13639827
2022-06-01,12.49,23518.80973,79.731674,0.50249344
2022-05-01,12.17,21317.42929,78.29693,0.18935737
2022-04-01,12.21,18462.79489,75.8263,0.15446192
2022-03-01,12.05,18739.9783,74.63814,0.068580136
2022-02-01,12.51,17215.89938,71.93946,0.13371766
2022-01-01,12.03,18138.52253,67.39386,0.15836932
2021-12-01,10.8,18357.68697,73.35927,0.045466088
2021-11-01,11.24,16615.54538,71.90567,0.17716534
2021-10-01,10.84,21325.13161,79.2735,0.10922022
2021-09-01,11.04,23143.46995,79.78818,0.2843832
2021-08-01,10.63,24617.01449,83.18427,0.11468122
2021-07-01,10.56,23857.14557,81.66044,0.20104139
2021-06-01,10.62,22220.7054,80.485054,0.21259841
2021-05-01,10.51,20358.42362,78.913025,0.07531115
2021-04-01,10.35,18002.29822,75.60867,0.09370079
2021-03-01,10.32,17989.94643,73.521,0.03111506
2021-02-01,10.71,17135.12051,72.54777,0.091535434
2021-01-01,10.35,17939.59384,68.1908,0.024892049
2020-12-01,10.29,17864.97909,68.48886,0.06527813
2020-11-01,10.38,18496.54066,76.49068,0.26640418
2020-10-01,10.22,21040.06129,80.002335,0.38023874
2020-09-01,10.43,22955.28069,81.61105,0.3313648
2020-08-01,10.09,24982.87265,83.49685,0.1600203
2020-07-01,10.22,24655.63867,82.48036,0.23279145
2020-06-01,10.06,22229.86186,81.2783,0.11482939
2020-05-01,8.46,19310.72037,77.62822,0.33413765
2020-04-01,10.22,18600.77317,79.12442,0.09278215
2020-03-01,10.05,18071.12615,75.07024,0.02476505
2020-02-01,10.17,16678.79927,71.33861,0.1885691
2020-01-01,10.05,17553.51711,70.32951,0.028321054
2019-12-01,10.33,17289.81831,72.49193,0.14414528
2019-11-01,10.76,17831.26089,74.117424,0.072703406
2019-10-01,10.38,21596.57412,80.45366,0.1643383
2019-09-01,10.56,23358.24041,81.92692,0.11417322
2019-08-01,10.47,23901.98943,81.47826,0.31991363
2019-07-01,10.5,23879.28629,82.77842,0.13182627
2019-06-01,10.51,22634.62061,81.951675,0.25944883
2019-05-01,10.25,20583.78364,79.42834,0.12179324
2019-04-01,10.29,17847.81044,76.32155,0.09868766
2019-03-01,10.34,17346.90223,72.27286,0.13576326
2019-02-01,10.47,16527.12967,73.208435,0.09772216
2019-01-01,10.44,17550.53901,68.42161,0.17640334
