Date,Unit Price,Sales,Mean Temperature (f),Total Precipitation (in)
2023-12-01,11.95,5938.68825,55.94703,0.048133098
2023-11-01,11.93,5615.3655,66.02733,0.029396323
2023-10-01,12.2,6987.36561,79.37764,0.00012700025
2023-09-01,12.57,8085.44509,87.643196,0.017979002
2023-08-01,12.68,10121.75565,95.81993,0.028575055
2023-07-01,12.97,10673.30122,101.141304,0.0007620015
2023-06-01,12.48,7727.29244,88.052826,0.0
2023-05-01,12.35,7001.27492,82.478035,0.0002540005
2023-04-01,11.73,5889.67115,74.21408,0.0
2023-03-01,11.19,5638.95443,58.51143,0.07912115
2023-02-01,11.1,5474.58865,54.040966,0.03726097
2023-01-01,11.06,6175.46899,50.180984,0.085725166
2022-12-01,11.03,6102.13772,52.151424,0.09283718
2022-11-01,10.8,5488.18935,58.0647,0.003937008
2022-10-01,11.18,6533.29865,75.174736,0.050927095
2022-09-01,11.78,8411.93682,89.08545,0.059711285
2022-08-01,12.03,9251.04031,91.29127,0.07264415
2022-07-01,12.0,9784.79734,95.15703,0.2119634
2022-06-01,11.82,8736.95663,93.80995,0.009317586
2022-05-01,11.43,7163.62527,84.0159,0.0
2022-04-01,10.92,5912.21128,75.74608,0.0
2022-03-01,10.26,5666.35539,65.28441,0.017653035
2022-02-01,10.68,5254.56634,57.127483,0.011670416
2022-01-01,10.37,5891.40192,54.871506,0.007493015
2021-12-01,10.38,5731.19198,57.088966,0.061976124
2021-11-01,10.05,5392.90746,69.17057,0.00039370082
2021-10-01,10.63,6092.92113,73.90747,0.0012700026
2021-09-01,11.2,8025.90527,88.00182,0.06259842
2021-08-01,11.22,9117.93948,89.097755,0.15062231
2021-07-01,11.51,9208.129,91.33711,0.23545846
2021-06-01,11.25,8774.78094,95.330696,0.0036745407
2021-05-01,11.17,6841.8742,83.20783,0.0008890018
2021-04-01,10.24,5782.4182,76.64457,0.0010498688
2021-03-01,9.84,5390.50345,62.564205,0.014605028
2021-02-01,10.07,5005.46086,58.885433,0.0
2021-01-01,9.68,5855.95802,53.99304,0.043307085
2020-12-01,9.82,5775.38208,54.151867,0.017780034
2020-11-01,9.44,5460.70035,66.468575,0.0020997375
2020-10-01,10.17,6801.56566,79.71949,0.0
2020-09-01,10.82,8003.82591,91.461945,0.0002624672
2020-08-01,11.14,9843.02247,99.073,0.00038100075
2020-07-01,11.36,9559.07379,98.33352,0.000508001
2020-06-01,11.08,7869.86641,92.02495,0.0
2020-05-01,11.05,7075.00123,86.81944,0.00012700025
2020-04-01,10.13,5391.69661,73.51432,0.0027559055
2020-03-01,9.49,5172.09242,61.81941,0.12522225
2020-02-01,9.45,5238.41831,55.57316,0.060819983
2020-01-01,9.42,5769.42878,53.39425,0.0063500125
2019-12-01,9.67,5635.65822,52.2909,0.098298185
2019-11-01,9.62,5117.42416,64.85683,0.095275596
2019-10-01,10.41,5977.1805,74.68118,0.0
2019-09-01,10.68,7656.92723,86.885826,0.08687663
2019-08-01,11.08,9353.41169,96.37747,0.0045720087
2019-07-01,11.34,9107.02843,96.353165,0.017272035
2019-06-01,11.03,7512.25889,90.99807,0.0
2019-05-01,10.85,5822.49825,76.1634,0.005588011
2019-04-01,10.33,5437.79314,74.6317,0.007086614
2019-03-01,9.9,5239.30571,63.75441,0.018415036
2019-02-01,10.08,5288.11633,51.104584,0.11122047
2019-01-01,9.98,5781.56747,52.879528,0.038481075
